Time,bitbay,bitfinex,bitstamp,cex.io,coinbase,hitbtc,itbit,kraken,okcoin,others
2017-07-21 15:00:00 UTC,2695.67333333333,2737.353790031,2736.02774381368,2747.43286404109,2733.86894894894,2732.48210526316,2736.09236842106,2736.85440255009,2801.871875,2692.731950791798
2017-07-21 16:00:00 UTC,2685.808,2735.23178377586,2720.03575558475,2741.78993116883,2725.78041033434,2729.26268656717,2724.44751824818,2728.4206793249,2811.88680781759,2685.600496354296
2017-07-21 17:00:00 UTC,2701.89666666667,2698.03498418181,2694.96613488975,2721.87179317508,2692.92575840146,2702.68646464647,2694.81503816794,2695.01356255878,2774.49739130435,2666.406144709172
2017-07-21 18:00:00 UTC,2685.0,2678.47605599854,2678.43185009487,2715.56525769231,2681.91424194399,2681.56452830189,2675.05746153846,2689.24297481637,2753.4160479042,2655.776007587892
2017-07-21 19:00:00 UTC,2663.9975,2635.9185430129,2633.33618210862,2666.173,2632.48307921382,2633.49531428571,2632.83384615385,2639.58582768778,2718.75610526316,2623.5782047980238
2017-07-21 20:00:00 UTC,,2632.86627477146,2631.4020174482,2671.45972850877,2627.02651376147,2629.4725,2640.84331606218,2629.62462812089,2725.46126436781,2619.21204088851
2017-07-21 21:00:00 UTC,2679.95,2639.39131138509,2636.86653333333,2687.23696798246,2631.08738805971,2625.55078431372,2639.94724299065,2632.89875406033,2742.59446808511,2618.623319931018
2017-07-21 22:00:00 UTC,2679.95,2666.65979757487,2665.59245363766,2713.24548571429,2661.82135514018,2649.26167487685,2667.88785185185,2672.64229226737,2761.77256097561,2626.5940761631487
2017-07-21 23:00:00 UTC,,2670.1089614501,2673.82742474915,2715.61380990991,2667.3082384106,2666.62684615385,2676.1623655914,2673.61944377989,2777.08519230769,2640.146189368656
2017-07-22 00:00:00 UTC,,2670.33552631579,2671.7957051282,2707.08482510822,2673.66416198877,2664.1391025641,2664.53402777778,2672.06535476464,2781.72598214286,2641.679708943498
2017-07-22 01:00:00 UTC,,2706.76099185921,2699.45326621924,2730.86544099379,2705.11619593538,2687.93405594406,2697.20464285714,2700.45477424483,2795.22950495049,2660.34357750662
2017-07-22 02:00:00 UTC,,2727.48828521834,2725.79818987342,2749.00301814815,2726.13212880143,2709.54895238095,2714.86694444444,2722.03295634378,2824.15685279188,2677.1050569563295
2017-07-22 03:00:00 UTC,2679.95,2718.86054431118,2719.87679442509,2751.21448965517,2720.79223027375,2721.70060606061,2714.4835,2720.38201917808,2820.84691489362,2676.041808301718
2017-07-22 04:00:00 UTC,,2706.56231957138,2706.7895751634,2735.61723707865,2705.88742211838,2706.22538461538,2705.63222222222,2707.14050877193,2803.91444444444,2667.550074068742
2017-07-22 05:00:00 UTC,,2743.82299493978,2734.92483333333,2760.99334146341,2733.75538523275,2734.36861111111,2738.25229166667,2737.56517488076,2823.73293814433,2688.44823364765
2017-07-22 06:00:00 UTC,,2760.90501364811,2748.63709424083,2762.8250827957,2747.71219512194,2764.02558441558,2747.14730769231,2754.27306095552,2833.25184782609,2701.2341634317963
2017-07-22 07:00:00 UTC,2713.055,2771.90015680445,2754.74599088838,2761.63453950618,2750.02641524107,2762.09803921569,2749.4552,2752.81997330596,2835.17820359281,2708.533689263264
2017-07-22 08:00:00 UTC,2736.8025,2816.77482371377,2796.99857737682,2806.87319358289,2779.66141775984,2802.46909090909,2793.53012953367,2799.97455651548,2874.84762886597,2756.659694714078
2017-07-22 09:00:00 UTC,,2827.12178414975,2808.52668704157,2813.8806,2797.59807086615,2809.53727272727,2794.77155778894,2809.19409989485,2889.09717821782,2746.23358244601
2017-07-22 10:00:00 UTC,2748.6,2870.08882023231,2843.6713728223,2855.36613646409,2828.31088351432,2861.80487804878,2799.37583333333,2836.59315851225,2920.8219193858,2793.080695824764
2017-07-22 11:00:00 UTC,2765.75,2870.31586010782,2845.63844155844,2861.31171690909,2840.08663436123,2864.09726415094,2799.98683333333,2848.79581092437,2933.50566513762,2805.9834833717
2017-07-22 12:00:00 UTC,2741.0025,2831.83734998163,2813.63278271919,2827.78394129979,2807.79878531073,2832.02943089431,2789.87876190476,2813.74223943662,2907.93774744027,2778.997594831058
2017-07-22 13:00:00 UTC,,2796.95972257849,2773.98823268205,2804.70191944444,2770.00902874564,2793.12088235294,2778.58263736264,2777.57270538922,2856.9178,2749.1234114880235
